S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
1,ALBA E-WASTE SMART RECYCLING PTE LTD,1. Permanent E-bin,20 TUAS LOOP,637350,E-waste accepted: All regulated consumer products under First Schedule at,https://alba-ewaste.sg,
,,,,,https://go.gov.sg/prod-def-sl,,
2,223 CHOA CHU KANG CENTRAL,1. Permanent E-bin,223 CHOA CHU KANG CENTRAL,680223,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
3,313@SOMERSET,1. Permanent E-bin,"313 ORCHARD ROAD, LEVEL 1 DISCOVERY WALK, NEAR MONEY CHANGER",238895,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
4,54 CHIN SWEE RD,1. Permanent E-bin,54 CHIN SWEE ROAD,160054,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
5,68 GEYLANG BAHRU,1. Permanent E-bin,"68 GEYLANG BAHRU, MAIN ENTRANCE",330068,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
6,888 PLAZA,1. Permanent E-bin,"888 WOODLANDS DRIVE 50, 888 PLAZA, COMMON CORRIDOR",730888,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
7,ACE THE PLACE CC,1. Permanent E-bin,"120 WOODLANDS AVENUE 1, ACE THE PLACE CC, BESIDE CC OFFICE ENTRANCE",739069,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
8,ALEXANDRA HOSPITAL,1. Permanent E-bin,"378 ALEXANDRA ROAD, BLK 21, LEVEL 1",159964,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
9,ANCHORVALE CC,1. Permanent E-bin,"59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB, MAIN LOBBY",544965,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
10,ANG MO KIO CC,1. Permanent E-bin,"ANG MO KIO AVENUE 1, MAIN LOBBY ENTRANCE",569976,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
11,BEDOK INDUSTRIAL PARK E,1. Permanent E-bin,"3013 BEDOK INDUSTRIAL PARK E, PAVILION",489978,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
12,BEDOK IXORA RC,1. Permanent E-bin,"51 NEW UPPER CHANGI ROAD, #01-1500",461051,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
13,BEDOK RESERVOIR-PUNGGOL CAPEVIEW RC,1. Permanent E-bin,"477A UPPER SERANGOON VIEW, LEVEL 1",531477,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
14,BOON LAY VIEW RN,1. Permanent E-bin,"218D BOON LAY AVE #01-309, DROP OFF AREA",640218,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
15,BOON LAY ZONE B RN,1. Permanent E-bin,682A JURONG WEST CENTRAL 1 #01-104,641682,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
16,BOON LAY ZONE C RN,1. Permanent E-bin,260 BOON LAY DRIVE,640260,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
17,BOON LAY ZONE F RN,1. Permanent E-bin,"674A JURONG WEST STREET 65, #01-66, VOID DECK",641674,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
18,BRADDELL HEIGHTS ZONE B RC,1. Permanent E-bin,"2A LORONG LEW LIAN, MULTI STOREY CARPARK, LEVEL 1",532002,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
19,BRADDELL HEIGHTS ZONE C RC,1. Permanent E-bin,"410 SERANGOON CENTRAL, #01-327",550410,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
20,BRADDELL HEIGHTS ZONE F RC,1. Permanent E-bin,"318 SERANGOON AVE 2, #01-324",550318,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
21,BRICKLAND MIRAGE QUAD RN,1. Permanent E-bin,817A KEAT HONG LINK,682817,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
22,BUANGKOK SQUARE,1. Permanent E-bin,"991 BUANGKOK LINK, LEVEL 1",530991,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
23,BUGIS JUNCTION TOWERS,1. Permanent E-bin,"230 VICTORIA STREET, FOUNTAIN LOBBY",188024,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
24,BUKIT MERAH CC,1. Permanent E-bin,4000 JALAN BUKIT MERAH,159465,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
25,BUKIT PANJANG CC,1. Permanent E-bin,"8 PENDING ROAD, MAIN LOBBY",678295,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
26,BUKIT PURMEI ZONE A RC,1. Permanent E-bin,"108 BUKIT PURMEI ROAD, #01-129",90108,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
27,BUKIT TIMAH PLAZA,1. Permanent E-bin,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA, RESIDENTIAL BLOCK CARPARK",588996,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
28,CANBERRA PLAZA,1. Permanent E-bin,"133 CANBERRA VIEW, LEVEL 1",750133,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
29,CAPITALAND JCUBE,1. Permanent E-bin,"2 JURONG EAST CENTRAL 1, REAR ENTRANCE",609731,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
30,CAPITALAND TAMPINES MALL,1. Permanent E-bin,"4 TAMPINES CENTRAL 5, CUSTOMER SERVICE COUNTER",529510,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
31,CAUSEWAY POINT,1. Permanent E-bin,"1 WOODLANDS SQUARE, MAIN ENTRANCE",738099,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
32,CENTRAL PLAZA,1. Permanent E-bin,"298 TIONG BAHRU ROAD, COMMON CORRIDOR (LETTERBOX)",168730,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
33,CHANGI GENERAL HOSPITAL,1. Permanent E-bin,"2 SIMEI STREET 3, CHANGI GENERAL HOSPITAL, B1 MAIN BUILDING LOBBY D",529889,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
34,CHINATOWN POINT,1. Permanent E-bin,"133 NEW BRIDGE ROAD, #06-01",59413,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
35,CI YUAN CC,1. Permanent E-bin,"51 HOUGANG AVENUE 9, MAIN LOBBY",538776,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
36,CITY PLAZA,1. Permanent E-bin,"810 GEYLANG RD, LEVEL 1",409286,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
37,CITY SQUARE MALL @ 180 KITCHENER ROAD,1. Permanent E-bin,"180 KITCHENER ROAD, B4 BESIDE TRAVELLATOR LOBBY",208539,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
38,CLEMENTI CC,1. Permanent E-bin,"220 CLEMENTI AVENUE 4, MAIN ENTRANCE",129880,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
39,CLIFFORD CENTRE,1. Permanent E-bin,"24 RAFFLES PLACE, CLIFFORD CENTRE, LVL 3 CARPARK LOBBY",48621,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
40,COMPASS ONE,1. Permanent E-bin,"1 SENGKANG SQUARE, #B1-52/53, MRT EXIT/ENTRANCE",545078,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
41,COMPASSVALE SOUTHGATE RC,1. Permanent E-bin,"201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545, VOID DECK",542201,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
42,COMPASSVALE VILLA RC,1. Permanent E-bin,"206C COMPASSVALE LANE, COMPASSVALE VILLA RC, VOID DECK",543206,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
43,CONNECTION ONE,1. Permanent E-bin,"168 JALAN BUKIT MARAH, SURBANA ONE, LEVEL 1",150169,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
44,CROSS STREET EXCHANGE,1. Permanent E-bin,"18 CROSS STREET, B1 CUSTOMER SERVICE COUNTER",48423,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
45,DAWSON PLACE,1. Permanent E-bin,"57 DAWSON RD, DAWSON PLACE",142057,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
46,DEPOT HEIGHTS SHOPPING CENTRE,1. Permanent E-bin,"108 DEPOT ROAD, DEPOT HEIGHTS SHOPPING CENTRE",100108,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
47,ELIAS MALL,1. Permanent E-bin,"623 ELIAS ROAD, ELIAS MALL, MAIN ENTRANCE",510623,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
48,ENVIRONMENT BUILDING (MSE/NEA),1. Permanent E-bin,40 SCOTTS ROAD,228231,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
49,EUNOS CC,1. Permanent E-bin,"180 BEDOK RESERVOIR ROAD, MAIN ENTRANCE",479220,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
50,FAJAR SHOPPING CENTRE,1. Permanent E-bin,"445 FAJAR ROAD, FAJAR SHOPPING CENTRE, COMMON CORRIDOR",670445,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
51,FARRER GARDENS RC,1. Permanent E-bin,"4 QUEEN’S ROAD, FARRER GARDENS RC",260004,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
52,FOOD CANOPY COFFEE SHOP,1. Permanent E-bin,"260 ANG MO KIO STREET 21, #01-06",560260,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
53,FUCHUN CC,1. Permanent E-bin,"1 WOODLANDS STREET 31, FUCHUN CC, LIFT LOBBY",738581,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
54,FUSIONOPOLIS ONE,1. Permanent E-bin,"3 FUSIONOPOLIS WAY, BASEMENT 2 CONNEXIS",138633,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
