"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
1,"""ALBA E-WASTE SMART RECYCLING PTE LTD""","""1. Permanent E-bin""","""20 TUAS LOOP""",637350,637350,"""E-waste accepted: All regulated consumer products under First Schedule at""","""https://alba-ewaste.sg""",1.320180691,103.6367538
2,"""223 CHOA CHU KANG CENTRAL""","""1. Permanent E-bin""","""223 CHOA CHU KANG CENTRAL""",680223,680223,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.381484134,103.7445335
4,"""54 CHIN SWEE RD""","""1. Permanent E-bin""","""54 CHIN SWEE ROAD""",160054,160054,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.287436414,103.8411759
5,"""68 GEYLANG BAHRU""","""1. Permanent E-bin""","""68 GEYLANG BAHRU, MAIN ENTRANCE""",330068,330068,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.321953855,103.8698434
6,"""888 PLAZA""","""1. Permanent E-bin""","""888 WOODLANDS DRIVE 50, 888 PLAZA, COMMON CORRIDOR""",730888,730888,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.437118561,103.7953161
7,"""ACE THE PLACE CC""","""1. Permanent E-bin""","""120 WOODLANDS AVENUE 1, ACE THE PLACE CC, BESIDE CC OFFICE ENTRANCE""",739069,739069,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.42749279,103.7922408
8,"""ALEXANDRA HOSPITAL""","""1. Permanent E-bin""","""378 ALEXANDRA ROAD, BLK 21, LEVEL 1""",159964,159964,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.288598041,103.7999739
9,"""ANCHORVALE CC""","""1. Permanent E-bin""","""59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB, MAIN LOBBY""",544965,544965,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.397083298,103.8866942
10,"""ANG MO KIO CC""","""1. Permanent E-bin""","""ANG MO KIO AVENUE 1, MAIN LOBBY ENTRANCE""",569976,569976,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.366861255,103.8406852
11,"""BEDOK INDUSTRIAL PARK E""","""1. Permanent E-bin""","""3013 BEDOK INDUSTRIAL PARK E, PAVILION""",489978,489978,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.336748347,103.9499004
12,"""BEDOK IXORA RC""","""1. Permanent E-bin""","""51 NEW UPPER CHANGI ROAD, #01-1500""",461051,461051,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.323429858,103.9422694
